Datum,Kl,Essingeleden,Hornsgatan innerstadsgata,Sveav�gen innerstadsgata,Uppsala innerstadsgata,Torkel Knutssonsgatan t�tort,Norr Malma landsbygd,Folkungagatan innerstadsgata,Uppsala t�tort,
2015-01-03,09:00,1.2273,2.293,-0.681274,3.33649,-0.445849,1.075,0,1.813,
2015-01-03,10:00,0.404567,1.61575,-3.06721,1.722,0.292309,0.6215,0,0.316012,
2015-01-03,11:00,0.357804,1.67125,3.87725,2.423,0.653219,0.4738,0,-0.0709749,
2015-01-03,12:00,1.2084,1.96325,2.81124,2.68,-1.36803,-0.04224,0,0.351224,
2015-01-03,13:00,2.03825,2.72449,3.1335,1.78975,1.03792,-0.5954,0,-0.701124,
2015-01-03,14:00,1.3913,2.25025,-0.843774,3.13425,1.50657,-0.888,0,-0.0353649,
2015-01-03,15:00,2.15025,3.36,2.09305,2.36275,1.7905,-0.9628,0,0.939232,
2015-01-03,16:00,1.49437,3.4285,-0.267125,4.07649,-0.287425,-1.062,0,-0.742125,
2015-01-03,17:00,1.6135,2.2545,-0.364773,2.62799,0.462574,-1.173,0,-0.3009,
2015-01-03,18:00,1.25355,2.09975,4.36449,1.31815,0.659249,-1.593,0,-0.106162,
2015-01-03,19:00,0.745099,1.34917,3.37725,0.445099,-0.295875,-2.093,0,-0.493899,
2015-01-03,20:00,0.1288,1.25325,1.15692,0.585649,0.260782,-1.742,0,-1.2555,
2015-01-03,21:00,0.552474,1.79875,0.927174,2.053,0.030504,-1.235,0,-1.2385,
2015-01-03,22:00,0.668249,2.13425,1.05835,1.66527,0.628675,-0.8882,0,-0.798074,
2015-01-03,23:00,0.819524,2.64225,5.08099,1.32057,2.7013,-0.845699,0,-1.15282,
2015-01-04,00:00,0.37051,1.60772,4.07825,1.5697,-0.584449,-0.4849,0,-0.694249,
2015-01-04,01:00,-0.228675,1.606,3.9975,0.195675,1.19795,-0.2405,0,-1.46025,
2015-01-04,02:00,-0.1155,2.4155,2.91525,1.45092,0.556934,-0.4218,0,0.532786,
2015-01-04,03:00,-0.115662,1.50005,1.6098,0.551074,0.769499,-0.8868,0,-1.35957,
2015-01-04,04:00,-0.710423,0.875749,2.50875,-0.534124,-2.161,-0.9451,0,-1.0458,
2015-01-04,05:00,-1.02112,2.16577,0,-0.205347,-0.649724,-1.166,0,-1.0565,
2015-01-04,06:00,-0.394575,1.1974,3.89675,-0.618249,1.94242,-1.273,0,-1.03912,
2015-01-04,07:00,-1.3555,1.97075,-0.887525,-0.43765,-0.388175,-1.294,0,-1.86825,
2015-01-04,08:00,-0.387239,2.94625,-3.08746,0.0426224,1.6209,-1.124,0,-2.12975,
2015-01-04,09:00,-0.527874,0.808424,-0.0880749,-0.360849,1.852,-0.897799,0,-2.141,
2015-01-04,10:00,-0.784849,-0.336327,-0.660599,0.574374,-2.76025,-1.637,0,-1.73122,
2015-01-04,11:00,-0.634349,-0.0894049,-4.19666,2.42825,-1.43847,-2.11,0,-2.74025,
2015-01-04,12:00,0.493424,0.968174,-2.1069,0.846048,0,-2.15,0,-3.383,
2015-01-04,13:00,0.549899,1.565,-1.59275,2.884,-1.299,-2.139,0,-0.8269,
2015-01-04,14:00,0.623549,1.41675,0.767532,2.61725,0.9254,-2.053,0,-1.88805,
2015-01-04,15:00,1.984,1.29165,-1.42043,2.8315,-1.333,-1.721,0,-0.1177,
2015-01-04,16:00,2.51475,2.64725,1.22275,3.78725,0.917499,-1.471,0,-0.551974,
2015-01-04,17:00,2.56824,3.18425,1.29375,3.627,-0.341949,-0.900499,0,-0.29165,
2015-01-04,18:00,2.62675,3.9735,1.1688,1.2562,2.82899,-0.8399,0,-2.022,
2015-01-04,19:00,2.15675,1.96475,0.998698,0.109821,2.88487,-0.934199,0,-0.719898,
2015-01-04,20:00,1.56687,1.57245,0.999699,2.4505,2.09475,-0.948,0,-1.42517,
2015-01-04,21:00,1.24717,3.268,2.79874,1.62955,2.1851,-0.9758,0,-0.614429,
2015-01-04,22:00,0.328902,2.75875,1.4655,2.22875,1.66102,-0.778899,0,0.154595,
2015-01-04,23:00,0.217899,1.42727,0.402225,1.11785,0.217817,-0.4741,0,-0.7793,
2015-01-05,00:00,0.468099,2.35832,0.461599,1.16915,2.1615,-0.3051,0,0.366224,
2015-01-05,01:00,0.927949,3.652,4.174,1.3061,2.23725,-0.00396699,0,0.663521,
2015-01-05,02:00,1.23715,2.97,5.21774,0.542524,4.12749,0.886999,0,0.474277,
2015-01-05,03:00,2.82175,4.23149,1.3752,1.14937,2.727,1.746,0,1.01392,
2015-01-05,04:00,1.52435,5.00774,3.88449,2.47225,3.6125,2.177,0,2.35725,
2015-01-05,05:00,2.46075,5.04849,5.01949,2.6395,3.25425,2.305,0,1.56275,
